,Title,Company,Location,Salary,Snippet,Job_Type
1387,Customer Service Representative (CSR),MedPro Disposal,Remote in Manila,"PHP 20,000 - PHP 25,000 a month",Ensure customer satisfaction and provide professional customer support.,customer_support
1388,Enjoy Dayshift and Earn up to 22k! Be a Customer Experience...,Probe Group,Taguig,"PHP 21,000 - PHP 22,000 a month","Applicants must supply and support their own computer hardware, software, and internet as follows:",customer_support
1389,Customer Service Representative (CSR)- Manila Site with 35K...,Transcom,Pasig,"PHP 23,000 - PHP 31,000 a month","The offered customer service should be of highest quality - accurate, polite, and competent.",customer_support
1390,CSR / TSR | WITH OR WITHOUT CALL CENTER EXPERIENCE | WFH/ WO...,"Stark Asia Solutions, Inc.",Manila,"PHP 15,000 - PHP 45,000 a month",-WITH OR WITHOUT CALL CENTER EXPERIENCE*.,customer_support
1391,CUSTOMER RELATIONSHIP ASSOCIATE,COLLIERS INTERNATIONAL,Manila,"PHP 20,000 - PHP 24,000 a month",Constant communication with unit owners to establish rapport and good customer relations.,customer_support
1392,Customer Service Representative (Dayshift),Hunter's Hub Inc.,Alabang,"PHP 18,000 - PHP 27,000 a month",Consolidates existing customer base while building new customer base.,customer_support
1393,Call Center Agent/ voice/non voice,Metacom Business Process Outsourcing Solutions,Remote in Quezon City,"PHP 20,000 - PHP 45,000 a month","Provides guidance, instruction and troubleshooting support to lower level employees.",customer_support
1394,Customer Service Representative,Sapient Global Services,Temporarily Remote in Quezon City,"PHP 15,000 - PHP 25,000 a month",\* Complementing customers’ wants to Clients’ goods and services.,customer_support
1395,Customer Service Representative,KDCI PH,Remote in Pasig,,Enjoys customer interaction and take the extra mile to engage customers.,customer_support
1396,Customer Support Representative - WFH/Onsite in MOA Pasay,HSB Recruitment Solutions,Pasay,"PHP 19,000 - PHP 26,000 a month",Assisting customers by responding to their questions.,customer_support
1397,Chat & Email Representatives (Local Account),ZALORA SOUTH EAST ASIA PTE LTD,Muntinlupa,,"At ZALORA, our Customer Service team provides highly personalized levels of support to our customers by leveraging best-in-class customer support practices…",customer_support
1398,Customer Support (Proctor/Pre-check/Live chat),Drake International,Makati,"PHP 17,000 - PHP 25,000 a month",1-2 years of customer support experience.,customer_support
1399,Customer Service Representative,Chevron,Temporarily Remote in Makati,,Coordinates with customers on Supplier Managed Inventory.,customer_support
1400,Dayshift - Call Center Agent,Metacom BPO Eastwood,Quezon City,"PHP 18,000 - PHP 25,000 a month",1. Customer Service Representatives for High School Grads with BPO experience.,customer_support
1401,Call Center Representative - Health Care Acc. - WFH - + Inte...,"Stark Asia Solutions, Inc.",Remote in Quezon City,"PHP 20,000 - PHP 21,600 a month",HS Grad with at least 1 year call center experience.,customer_support
1402,CALL CENTER AGENT | OUTBOUND CALLS | FOR NEWBIES & CAREER SH...,"Stark Asia Solutions, Inc.",Remote in Makati,"PHP 15,000 - PHP 25,000 a month",Experience handling outbound calls is advantage but not required.,customer_support
1403,Call center Agent | Paid Training + WFH + HMO on DAY 1!,"Stark Asia Solutions, Inc.",Remote in Quezon City,"PHP 21,600 a month",Work set up: *Temporary WFH.,customer_support
1404,CSR - Healthcare Account | WFH |ASAP,"Stark Asia Solutions, Inc.",Temporarily Remote in Alabang,"PHP 21,100 a month",1 yr BPO for HS Graduates !!*.,customer_support
1405,Weekends OFF | 100 Slots for Call Center Representative | On...,Orbit Teleservices,"Remote in Alabang
+1 location","PHP 18,000 - PHP 25,000 a month",Takes action to phone problems and grievances using standardized scripts and processes.,customer_support
1406,Customer Service Representative|Open for SHS Grad. w/ 6 mont...,"Stark Asia Solutions, Inc.",Remote in Quezon City,"PHP 20,600 - PHP 21,600 a month",With at least 25Mbps Internet speed at home.,customer_support
1407,#WFH and Onsite Positions Open - Call Center Representatives,Orbit Teleservices,Temporarily Remote in Alabang,"PHP 16,000 a month",Takes action to phone problems and grievances using standardized scripts and processes.,customer_support
1408,Customer Service Specialist (BPO) -WFH PLUS INTERNET ALLOWAN...,"Stark Asia Solutions, Inc.",Remote in Alabang,"PHP 20,600 - PHP 21,600 a month",HS Grad with at least 1 year call center experience.,customer_support
1409,BPO Non-voice Customer Support |ON-SITE [Can start ASAP],E-Guardian Philippines Inc.,Makati,"PHP 14,000 - PHP 16,000 a month",Provide exceptional customer support for an E-commerce Automobile exporting website;,customer_support
1410,Customer Service Representative (CSR),Accenture,"Temporarily Remote in Taguig
+1 location","PHP 15,000 a month",\*At least High School graduate.,customer_support
1411,Join now! Call Center Agents in QC site - WFH,Metacom North,Remote in Quezon City,"PHP 18,000 - PHP 20,000 a month","Adhering to arranged steps, meeting mandatory job standards, goals, and objectives.",customer_support
1412,With or Without EXP! | Call Center Agent | WFH,Orbit Teleservices,Remote in Cubao,,"Gathers information, researches/resolves inquiries, and logs customer calls.",customer_support
1413,Call Center Agent. (CSR) - WHF,GDV STACKph,Temporarily Remote in Taguig,"PHP 25,000 - PHP 35,000 a month","HMO up to P 400,000.00 Medical HMO Insurance effective on Day 1 (Can go as high as 2 Million including 3 dependents).",customer_support
1414,URGENT HRING | Healthcare Account | CSR work from home,Neksjob Philippines,"Remote in Quezon City
+3 locations","PHP 16,000 - PHP 18,000 a month","As a CSR, you will provide outstanding customer service by answering queries and providing assistance to the customers over the phone.",customer_support
1415,Open to ZERO experience | Call Center Agent,Orbit Teleservices Philippines,Caloocan,"PHP 16,000 - PHP 30,000 a month",BPO or Call center experience are required for High school grad and College Undergrad; or.,customer_support
1416,Corporate Sales Officer (work at home),PETNET INC,Remote in Makati,"PHP 20,000 - PHP 35,000 a month",Develop and maintain a customer database;,customer_support
1417,Call Center Agent | Temporary WFH | Caloocan,Orbit Teleservices Philippines,Remote in Caloocan,"PHP 16,000 - PHP 30,000 a month",BPO or Call center experience are required for High school grad and College Undergrad; or.,customer_support
1418,Customer Service Representative ( CSR ) - Email | Chat | Voi...,Trinity Workforce Solutions,Manila,"PHP 18,000 - PHP 27,000 a month",Following up with customers to ensure full resolution of issues.,customer_support
1419,Customer Service Representative,Find Human Resources Philippines,Taguig,"PHP 19,000 - PHP 24,000 a month","Job Types: Full-time, Permanent.",customer_support
1420,Customer Service Representative (CSR) - Work From Home,Everise,Temporarily Remote in Taguig,"PHP 21,000 - PHP 26,000 a month",Customer Service Representative for Healthcare Account*.,customer_support
1421,Customer Service Representative (CSR) / Virtual Assistants -...,Patra Corp,Temporarily Remote in Quezon City,"PHP 27,000 - PHP 33,000 a month","Our Philippines operations, located in Manila, is a certified BPO (Business Process Outsourcing) specializing in customer service, administrative/executive…",customer_support
1422,CSR FULL TIME - WORK FROM HOME SETUP,J. Plazo Staffing Corp.,Temporarily Remote in Muntinlupa,"PHP 16,000 - PHP 20,000 a month",A Customer Service Representative position (SEASONAL & FULL TIME) is NOW OPEN for no work experience and career shifters!,customer_support
1423,Call Center Agent| With or WITHOUT EXP| WFH,Orbit Teleservices,Remote in Cubao,"PHP 15,000 - PHP 33,000 a month",Implement customer service programs when recommended.,customer_support
1424,CSR (OB) - MAKATI SITE -OPEN FOR FRESH GRADUATES & CAREER SH...,"Stark Asia Solutions, Inc.",Remote in Makati,"PHP 15,000 - PHP 25,000 a month",Experience handling outbound calls is advantage but not required.,customer_support
1425,"Hiring Customer Service Reps / BPO Agent / 19,000",Neksjob Philippines,"Remote in Taguig
+1 location","PHP 17,000 - PHP 19,000 a month",Basic NEKSJOB RequirementGood communication skills.,customer_support
1426,Chat Agent,Bebang Halohalo Snack House,Mandaluyong,PHP 537 a day,Improve customer experience by providing excellent customer service;,customer_support
1427,TSR | CSR | PC Provided |PERMANENT WORK FROM HOME,"Stark Asia Solutions, Inc",Remote in Alabang,"PHP 18,000 - PHP 21,000 a month",Customer Service Representatives* are responsible for managing various customer issues depending on account assignment; transactions can be related to billing…,customer_support
1428,Onsite Call Center Representative - Australian dayshift acco...,OracleCMS International Inc.,Makati,"PHP 17,000 - PHP 23,000 a month",Provide product and service information to customers.,customer_support
1429,Call Center Representative - Quezon City - 28k Starting,John Clements Consultancy,Remote in Quezon City,"PHP 28,000 - PHP 30,000 a month","They will handle inquiries and concern, provide appropriate solutions, and build trust with customer through interactive communication.",customer_support
1430,CSR - TEMPORARY WORK FROM HOME,Metacom Business Process Outsourcing,Remote in Quezon City,"PHP 18,000 - PHP 27,000 a month",High school graduates are accepted.,customer_support
1431,Call Center Agent,"Cybersoft Content Services, Inc.",Remote in Quezon City,"PHP 23,000 a month",Manages and resolves customer complaints.,customer_support
1432,CORPORATE TRAVEL CSR (GDS Background),"Siegen HR Solutions, Inc.",Makati,"PHP 20,000 - PHP 45,000 a month",Work in our Corporate Travel account and earn up to PHP45K/mo basic salary.,customer_support
1433,CORPORATE TRAVEL CSR (SABRE GDS-FOCUSED),"Siegen HR Solutions, Inc.",Pasig,"PHP 45,000 a month","MUST HAVE at least 3 years experience with SABRE Global Distribution System in a BPO, travel agency or aviation company.",customer_support
1434,Customer Relation Officer,"Autohub Group of Companies, Inc.",Remote in Makati,,Strong analytical and planning skills;,customer_support
1435,Call Center Agent l Over The Phone Interview l Mandaluyong S...,Neksjob,Mandaluyong,"PHP 22,300 a month",At least 18 years old and above.,customer_support
1436,Customer Service Agent and Tech Support Representative| WORK...,Orbit Teleservices,Remote in Cubao,"PHP 15,000 - PHP 35,000 a month",Matching customers’ wishes to Clients’ solutions and services.,customer_support
1437,Guest Service Specialist * 6 months to 1 year bpo exp * WFH...,"Stark Asia Solutions, Inc.",Remote in Pasay,"PHP 22,300 - PHP 25,778 a month",Recruitment process: Initial Interview & Ops Interview > Job offer.,customer_support
